Student_ID,Study_Hours,Attendance,Assignment_Score,Midterm_Score,Exam_Score,Final_Result
S001,2,68,55,52,50,Fail
S002,3,72,60,58,55,Fail
S003,4,75,65,62,60,Fail
S004,5,80,70,68,65,Pass
S005,6,85,75,72,70,Pass
S006,7,90,82,78,80,Pass
S007,8,95,88,85,90,Pass
S008,3,70,58,55,52,Fail
S009,5,82,72,70,68,Pass
S010,6,88,78,75,74,Pass
S011,2,65,50,48,45,Fail
S012,4,78,68,65,63,Pass
S013,7,92,85,82,86,Pass
S014,8,96,90,88,94,Pass
S015,3,74,62,58,57,Fail
S016,5,83,73,70,71,Pass
S017,6,87,80,76,78,Pass
S018,9,98,94,92,96,Pass
S019,2,60,48,45,42,Fail
S020,4,76,66,60,61,Pass
S021,7,91,84,80,85,Pass
S022,5,81,70,68,69,Pass
S023,3,69,55,52,50,Fail
S024,8,94,89,86,91,Pass
S025,6,86,77,74,76,Pass
S026,4,73,64,60,59,Fail
S027,9,97,92,90,95,Pass
S028,2,67,52,50,47,Fail
S029,5,79,71,67,66,Pass
S030,7,89,83,79,82,Pass
S031,8,93,87,84,89,Pass
S032,3,71,59,56,54,Fail
S033,6,84,76,73,72,Pass
S034,4,77,67,63,64,Pass
S035,9,99,95,93,97,Pass
S036,2,63,49,46,44,Fail
S037,5,80,74,69,70,Pass
S038,7,88,81,77,81,Pass
S039,3,73,61,57,56,Fail
S040,8,96,91,87,93,Pass
S041,6,85,79,75,77,Pass
S042,4,74,63,59,58,Fail
S043,7,90,86,81,84,Pass
S044,5,82,72,69,67,Pass
S045,9,98,93,91,96,Pass
S046,3,68,57,53,51,Fail
S047,6,89,81,77,79,Pass
S048,4,75,65,61,62,Pass
S049,8,94,88,85,90,Pass
S050,2,66,51,47,46,Fail
